[2026-07-23T12:10:53.304Z] [INFO] [ApiClient] POST auth/register -> 201
[2026-07-23T12:10:53.304Z] [INFO] [auth.fixtures] Provisioned run-unique user {"username":"teller_1784808653217-057ec4","userId":"USER-1784808653302-ee426965"}
[2026-07-23T12:10:53.322Z] [INFO] [ApiClient] GET customers -> 200
[2026-07-23T12:10:53.331Z] [INFO] [ApiClient] GET customers -> 200
[2026-07-23T12:10:53.334Z] [INFO] [ApiClient] GET customers -> 200
[2026-07-23T12:10:53.336Z] [INFO] [ApiClient] GET customers -> 200
[2026-07-23T12:10:53.336Z] [INFO] [ApiClient] GET customers -> 200
[2026-07-23T12:10:53.338Z] [INFO] [ApiClient] GET customers -> 200
[2026-07-23T12:10:53.340Z] [INFO] [ApiClient] GET customers -> 200
[2026-07-23T12:10:53.340Z] [INFO] [ApiClient] GET customers -> 200
[2026-07-23T12:10:53.341Z] [INFO] [ApiClient] GET customers -> 200
[2026-07-23T12:10:53.341Z] [INFO] [ApiClient] GET customers -> 200
[2026-07-23T12:10:53.353Z] [INFO] [customer-search.steps] Large-limit list under concurrent load {"concurrency":10,"minMs":12,"maxMs":26}
